[INFO] 2025-10-16 18:38:45,708 activity 2025-10-16T15:38:45.708315+00:00 method=GET path='/en/control/analytics/' status=200 ms=26 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:38:49,536 activity 2025-10-16T15:38:49.536053+00:00 method=POST path='/en/control/analytics/' status=302 ms=603 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:38:50,144 activity 2025-10-16T15:38:50.144671+00:00 method=GET path='/en/control/analytics/' status=200 ms=31 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:41:48,231 activity 2025-10-16T15:41:48.231483+00:00 method=GET path='/en/control/analytics/?period=30&hide_query=1' status=200 ms=25 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:41:53,919 activity 2025-10-16T15:41:53.919572+00:00 method=GET path='/en/control/analytics/?period=30' status=200 ms=20 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:41:56,023 activity 2025-10-16T15:41:56.023012+00:00 method=GET path='/en/control/analytics/?period=30&hide_query=1' status=200 ms=31 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:41:58,269 activity 2025-10-16T15:41:58.269913+00:00 method=GET path='/en/control/analytics/?period=30&hide_i18n=1&hide_query=1' status=200 ms=25 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:42:08,463 activity 2025-10-16T15:42:08.462954+00:00 method=GET path='/en/control/analytics/?period=30&hide_query=1' status=200 ms=30 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:42:12,979 activity 2025-10-16T15:42:12.979471+00:00 method=POST path='/en/control/analytics/?period=30&hide_query=1' status=302 ms=287 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:42:13,199 activity 2025-10-16T15:42:13.199264+00:00 method=GET path='/en/control/analytics/' status=200 ms=24 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
